Comment,Domain,Sarcasm
Super — the foreign-language subtitles were in the same language.,movies,Yes
Fantastic — the paediatrician's office lost my child's vaccination records.,healthcare,Yes
Loved the insulated water bottle that lost insulation within a week.,ecommerce,Yes
The subscription price is fair for what you get.,apps,No
Loved the hospital's 'patient-first' policy that made waiting feel second.,healthcare,Yes
Brilliant that the offline mode requires internet.,apps,Yes
Staff addressed every request promptly and cheerfully.,hotels,No
Super — the birthday cake arrived three hours after we'd left.,restaurants,Yes
Brilliant — the car phone mount fell off while driving.,ecommerce,Yes
"Great restaurant — the item I ordered wasn't available, nor was half the menu.",restaurants,Yes
Brilliant — the sync feature loses data across devices.,apps,Yes
I found a lost item in a drawer and it was returned within the hour.,hotels,No
"The ensemble worked as a unit, not as competing performers.",movies,No
The tasting notes matched the wine's character precisely.,restaurants,No
The herb garden visible through the window explained the freshness.,restaurants,No
Superb — two-factor auth codes expire before I type them.,apps,Yes
Wonderful — the balcony door couldn't open or close properly.,hotels,Yes
Loved the 'luxury' toiletries in a hostel-grade bottle.,hotels,Yes
Love how my review was deleted because I rated 1 star.,apps,Yes
Wonderful dessert — served before the main course.,restaurants,Yes
The pre-theatre menu was flexible around our show time.,restaurants,No
Fantastic — the digital scale reads differently every weigh.,ecommerce,Yes
Great — the bookmark feature is hidden behind a paywall.,apps,Yes
"Fantastic update, now nothing works at all.",apps,Yes
The product's app paired without any troubleshooting.,ecommerce,No
Super — the discharge summary was written in incomprehensible jargon.,healthcare,Yes
Outstanding — the dark theme turns everything gray.,apps,Yes
Fantastic — the noise from the hallway made sleep impossible.,hotels,Yes
The cardiologist explained the ECG in simple terms.,healthcare,No
Brilliant — the 'premium' mattress felt like sleeping on a footpath.,ecommerce,Yes
The climactic scene was among the best-staged I've seen.,movies,No
The wine recommendation was excellent and well within budget.,restaurants,No
Loved the clinic's 'award-winning' service that felt award-losing.,healthcare,Yes
Loved the patient portal where uploaded files immediately disappeared.,healthcare,Yes
Customer support responded within an hour and fixed my issue.,apps,No
Impressive — the help page returns a 404 error.,apps,Yes
Price dropped and the site automatically refunded the difference.,ecommerce,No
Super — the 'light bite' starter weighed more than the main.,restaurants,Yes
Love how the specialist was three hours late and said nothing.,healthcare,Yes
Super — the app uses mobile data even on Wi-Fi.,apps,Yes
Wonderful — the referral got lost for six weeks.,healthcare,Yes
Brilliant — the in-room safe locked with my passport inside.,hotels,Yes
Loved that switching languages reset every preference.,apps,Yes
Brilliant — the pharmacy auto-refill sent medication I no longer needed.,healthcare,Yes
Great — the express checkout still took 40 minutes.,hotels,Yes
Great — the 'king bed' was two singles pushed together.,hotels,Yes
"Super — the steak was ordered medium-rare, arrived cremated.",restaurants,Yes
The GP practice called to remind me of a due vaccination.,healthcare,No
Brilliant — the 'handmade' gnocchi was clearly from a packet.,restaurants,Yes
Wonderful — the bar closed at 8pm in a city that sleeps at midnight.,hotels,Yes
The elevator was serviced and inspected — certificate visible.,hotels,No
Great — the 'high-resolution' print looks like a 1990s photocopy.,ecommerce,Yes
The world-building was immersive and internally consistent.,movies,No
Wonderful — the steak sauce was the only thing that had flavour.,restaurants,Yes
Customer service issued a refund without any argument.,ecommerce,No
The waiter offered a smaller portion of the rich dessert — considerate.,restaurants,No
The comedy landed consistently without relying on cheap jokes.,movies,No
Super — the 'artisanal' ice cream was store-bought with a fancy cone.,restaurants,Yes
Incredible how they broke login with the latest patch.,apps,Yes
The hotel hosted a local art exhibition in the lobby.,hotels,No
Towels at the pool were plentiful and replaced promptly.,hotels,No
Super — the travel adapter fried my laptop.,ecommerce,Yes
Character arcs were earned and felt true to each person.,movies,No
Brilliant — the 'family friendly' menu charged double for half-portions.,restaurants,Yes
Fantastic — the 'complimentary champagne' was flat orange juice.,hotels,Yes
The calendar integration was straightforward to set up.,apps,No
Brilliant — the 'open kitchen' let me watch my order be forgotten.,restaurants,Yes
So glad they added a subscription to a previously free feature.,apps,Yes
The screenplay's structure was elegant under repeated viewing.,movies,No
Love the UI that's completely different on every device.,apps,Yes
Superb — the app resets my theme on every launch.,apps,Yes
Brilliant — the 'no-reservation needed' place turned away every walk-in.,restaurants,Yes
Wonderful — the automated appointment reminder called me at midnight.,healthcare,Yes
Concierge booked a restaurant and it was an excellent recommendation.,hotels,No
Super — the historical drama had no connection to history.,movies,Yes
Loved being logged out mid-transaction.,apps,Yes
Brilliant — the 'premium' mattress felt like sleeping on a footpath.,ecommerce,Yes
The free tier is generous enough for casual users.,apps,No
Loved the 'genuine mahogany' shelves that were chipboard.,ecommerce,Yes
Loved the redesign that removed my favourite shortcut.,apps,Yes
Great — the sommelier's recommendation cost ten times the meal.,restaurants,Yes
Brilliant — the film's message was beaten into you every 10 minutes.,movies,Yes
Fantastic — the philosophical film's philosophy was Google-able.,movies,Yes
Customer service issued a refund without any argument.,ecommerce,No
Wonderful — the world-building built to nothing.,movies,Yes
Brilliant — the animated film was better as a book.,movies,Yes
Loved the hospital's 'patient-first' policy that made waiting feel second.,healthcare,Yes
Loved the 5-star experience that felt firmly 1-star.,hotels,Yes
Wonderful — the minibar was restocked with entirely wrong items.,hotels,Yes
The tutorials are clear and can be revisited anytime.,apps,No
Super — the oysters arrived on ice but were room temperature.,restaurants,Yes
Fantastic — the herb garnish was the freshest thing on the plate.,restaurants,Yes
Super — the standing desk collapsed when I stood at it.,ecommerce,Yes
Fantastic — the vaccine appointment was cancelled after I sat for an hour.,healthcare,Yes
Brilliant — the villain's plan required the hero to do nothing.,movies,Yes
Fantastic — the 'exclusive' private dining room was a sectioned-off table.,restaurants,Yes
The app's community forum is active and helpful.,apps,No
Deep links navigate correctly to the right section.,apps,No
Follow-up call came within the promised timeframe.,healthcare,No
The film was shorter and more effective than most in the genre.,movies,No
The presentation elevated even the simplest dish.,restaurants,No
The payment flow is straightforward with no hidden charges.,apps,No
Great — the 'best steak in town' lost to a frozen supermarket one.,restaurants,Yes
Product footprint is compact and fits my available space.,ecommerce,No
The seasonal fruit dessert was the freshest thing I tasted all week.,restaurants,No
The flashback structure revealed information at exactly the right time.,movies,No
Wonderful — the valet parked my car 2 km away.,hotels,Yes
Magnificent — the app auto-plays audio in silent mode.,apps,Yes
The pacing changes were intentional and effective.,movies,No
"Brilliant — the pillow menu had eight options, all of which were unavailable.",hotels,Yes
Seller provided a warranty extension as a goodwill gesture.,ecommerce,No
"Fantastic — the mixologist left to make cocktails, returned with water.",restaurants,Yes
Live chat support is available and responsive.,apps,No
Outstanding that they removed copy-paste from text fields.,apps,Yes
Room was spotless and matched every photo on the website.,hotels,No
Brilliant — the calligraphy pen arrived without ink.,ecommerce,Yes
Great — the update removed the calendar sync I depended on.,apps,Yes
Fantastic — the air purifier made the air dustier.,ecommerce,Yes
Such a smooth experience — lag on every screen.,apps,Yes
The ambient lighting was perfect for a relaxed dinner.,restaurants,No
Widgets are customisable and display accurate information.,apps,No
Super — the 'artisanal' ice cream was store-bought with a fancy cone.,restaurants,Yes
Super — the breakfast buffet closed at 7am.,hotels,Yes
Loved the mental health 'support' hotline that rang out every time.,healthcare,Yes
The kitchen accommodated a nut allergy without any drama.,restaurants,No
The hotel's charity partnership added a meaningful element to the stay.,hotels,No
Loved the biopic's version of events that the subject publicly denied.,movies,Yes
The brunch queue was managed with a text notification system.,restaurants,No
Wonderful clinic — waited three hours past my appointment time.,healthcare,Yes
Fantastic — the marketing promised a thriller; the film delivered a nap.,movies,Yes
The dessert was the highlight of the meal — beautifully presented.,restaurants,No
Wonderful comedy — I laughed zero times.,movies,Yes
The child health nurse was patient and thorough.,healthcare,No
Great — the 'epic' burger fell apart before the first bite.,restaurants,Yes
The product charged my device at the stated wattage.,ecommerce,No
"Fantastic — the mixologist left to make cocktails, returned with water.",restaurants,Yes
Great — the 'artisan' sourdough had the texture of a yoga mat.,restaurants,Yes
Loved the pristine bathroom with a broken toilet handle.,hotels,Yes
Fantastic — the 'lifetime warranty' expired in 30 days.,ecommerce,Yes
The quality exceeded what I expected at this price point.,ecommerce,No
Super — the keyboard shortcuts conflict with each other.,apps,Yes
Wonderful — the dentist used equipment that should have been sterile.,healthcare,Yes
Wonderful — the steak sauce was the only thing that had flavour.,restaurants,Yes
Loved the 'hypoallergenic' ring that left a green rash.,ecommerce,Yes
Super — the soundtrack drowned out every line of dialogue.,movies,Yes
Product is durable — still performing well after six months.,ecommerce,No
The mattress was genuinely comfortable — slept better than at home.,hotels,No
Brilliant — the online booking confirmed a time the clinic was closed.,healthcare,Yes
Super — the hospital cafeteria served nothing a patient could actually eat.,healthcare,Yes
Wonderful — the minibar was restocked with entirely wrong items.,hotels,Yes
The app loads quickly and syncs across devices seamlessly.,apps,No
Multiple colour options were accurate when compared in person.,ecommerce,No
The paediatrician was excellent with my anxious child.,healthcare,No
The prix fixe represented outstanding value.,restaurants,No
The developer documentation is well-maintained.,apps,No
Brilliant — the cable organiser created more cable chaos.,ecommerce,Yes
Great — the CGI villain had less menace than a loading screen.,movies,Yes
The product charged my device at the stated wattage.,ecommerce,No
Super — the parking lot for the health center was in a different suburb.,healthcare,Yes
The product came pre-calibrated and was accurate out of the box.,ecommerce,No
Loved the onboarding that asked me the same question twice.,apps,Yes
Love how they lost my reservation after full payment.,hotels,Yes
Super — the posture corrector gave me worse posture.,ecommerce,Yes
Impressive — the help page returns a 404 error.,apps,Yes
The noise level is as quiet as the specs promise.,ecommerce,No
Checked out in under two minutes using the express lane.,hotels,No
The quality exceeded what I expected at this price point.,ecommerce,No
Brilliant — the fusion restaurant fused confusion with disappointment.,restaurants,Yes
Brilliant reception staff — put me on hold for 45 minutes.,healthcare,Yes
Fantastic — the 'chef's table' had a view of the garbage bins.,restaurants,Yes
Great doctor — spent 90 seconds with me and charged a fortune.,healthcare,Yes
The presentation elevated even the simplest dish.,restaurants,No
"Amazing app, logs me out every five minutes.",apps,Yes
Great — the minibar fridge kept items at room temperature.,hotels,Yes
Brilliant — the check-out receipt included charges from 2019.,hotels,Yes
Loved the new animation that hides the button I need.,apps,Yes
Keyboard shortcuts make navigation much faster.,apps,No
The fish of the day was sustainably sourced and excellent.,restaurants,No
Great — the 'secret recipe' sauce tasted like a popular brand.,restaurants,Yes
Installation guide was clear and required no additional tools.,ecommerce,No
Great — the 'unbreakable' phone case broke on a 20cm drop.,ecommerce,Yes
Brilliant — the heartwarming finale required forgetting the first two acts.,movies,Yes
Brilliant — the documentary's conclusion contradicted its evidence.,movies,Yes
A genuinely funny comedy that required zero cringe.,movies,No
The chef adapted a dish to my dietary needs willingly.,restaurants,No
Loved the travel pillow that hurt my neck worse than nothing.,ecommerce,Yes
Brilliant — the room wasn't ready six hours after check-in time.,hotels,Yes
Fantastic — the wake-up call came an hour late.,hotels,Yes
Performance has been consistent across both my devices.,apps,No
Great — the magnetic phone case demagnetised my bank cards.,ecommerce,Yes
The hotel's city map was accurate and genuinely useful.,hotels,No
Loved the director's cut that only added scenes that should be cut.,movies,Yes
Super — the film's climax involved running through corridors again.,movies,Yes
Reception staff were friendly and efficient.,healthcare,No
Wonderful — the 'true story' had a disclaimer that nothing was true.,movies,Yes
Loved the insulated water bottle that lost insulation within a week.,ecommerce,Yes
Brilliant — the film's 'ambiguous' ending was just unfinished.,movies,Yes
Super — the child actor delivered lines written by someone who'd never met a child.,movies,Yes
Brilliant — the airport shuttle driver had no idea where the airport was.,hotels,Yes
Deep links navigate correctly to the right section.,apps,No
Online appointment booking worked smoothly.,healthcare,No
The complimentary Wi-Fi matched wired connection speeds.,hotels,No
The radiology report was clear and shared with my GP.,healthcare,No
I requested a hypoallergenic room and it was correctly prepared.,hotels,No
Super design — the swipe-to-delete also deletes my sanity.,apps,Yes
Minibar was fully stocked and fairly priced.,hotels,No
Loved the waiter who recommended the most expensive item every time.,restaurants,Yes
The gift wrapping option was neat and professionally done.,ecommerce,No
Wonderful — restoring purchases has been 'coming soon' for months.,apps,Yes
Product improved my workflow noticeably from day one.,ecommerce,No
Seller proactively notified me of a slight shipping delay.,ecommerce,No
Great — opened the box to find a rock instead of my order.,ecommerce,Yes
Fantastic — the hotel's 'artisanal coffee' was instant from a tin.,hotels,Yes
Stellar app that asked for a review before I even used it.,apps,Yes
Great — the widget shows yesterday's data.,apps,Yes
The onboarding is intuitive and took less than two minutes.,apps,No
Wonderful — the skip-intro button appears after the intro ends.,apps,Yes
The quality exceeded what I expected at this price point.,ecommerce,No
The counsellor's advice was practical and immediately useful.,healthcare,No
So helpful that the FAQ has zero relevant answers.,apps,Yes
The performances felt collaborative rather than competitive.,movies,No
The product is exactly what a minimalist needs.,ecommerce,No
Loved the tasting menu that required eating things I was told not to eat.,restaurants,Yes
Loved the awards bait that baited no awards.,movies,Yes
Fantastic — the herb garnish was the freshest thing on the plate.,restaurants,Yes
Super — the 'complimentary' shuttle ran once a day.,hotels,Yes
Super — the 'adjacent rooms for family' booking put us on different floors.,hotels,Yes
Great — the specialist requested tests my GP had already run.,healthcare,Yes
Wonderful — the kids' menu charged adult prices.,restaurants,Yes
Great — the doctor's follow-up email was sent to my old address.,healthcare,Yes
Wonderful — the love interest had no personality beyond 'love interest.',movies,Yes
Super — the outdoor pool was classified as 'heated' at 15°C.,hotels,Yes
Phenomenal — the app charges premium for features that don't work.,apps,Yes
Brilliant — the prescription was for the medication I'm allergic to.,healthcare,Yes
The in-room safe was large enough for a laptop.,hotels,No
The shuttle met us at arrivals with a name board.,hotels,No
Fantastic — the toothbrush holder couldn't hold a toothbrush upright.,ecommerce,Yes
The allergy specialist identified the trigger on the first visit.,healthcare,No
So smooth — pinch-to-zoom broke with the latest patch.,apps,Yes
Brilliant — the 'craft beer selection' was three mainstream lagers.,restaurants,Yes
Widgets are customisable and display accurate information.,apps,No
The pool bar service was attentive without being intrusive.,hotels,No
The in-app help centre actually answered my question.,apps,No
"Great app, crashes every single time I open it.",apps,Yes
The booking system sent a reminder and a menu preview.,restaurants,No
The recent update fixed the bug I reported. Impressive.,apps,No
The air conditioning kept the room at a perfect temperature.,hotels,No
Love how my test results took two months to arrive.,healthcare,Yes
Wonderful — the valet parked my car 2 km away.,hotels,Yes
Brilliant — the farm-to-table restaurant's farm was a factory.,restaurants,Yes
"Fantastic — the mixologist left to make cocktails, returned with water.",restaurants,Yes
Fantastic — the chef's recommendation was what they needed to use up.,restaurants,Yes
Wonderful — the physiotherapy clinic double-booked my slot every time.,healthcare,Yes
The open-fire cooking gave the food a distinctive and excellent flavour.,restaurants,No
Fantastic — the ultrasound machine ran out of gel halfway through.,healthcare,Yes
The children's menu was nutritious and imaginative.,restaurants,No
Fantastic — the 'quiet lunch' turned into a corporate event.,restaurants,Yes
Great — the plumbing woke me at 6am every morning.,hotels,Yes
The film found new things to say about a well-covered subject.,movies,No
Great value — paid triple after hidden fees appeared.,ecommerce,Yes
"The comedy was rooted in character, not just situation.",movies,No
Super — the patient questionnaire asked for information already on file.,healthcare,Yes
Brilliant — the nightstand lamp had no off switch.,hotels,Yes
Fantastic — the checkout invoice had charges from rooms I wasn't in.,hotels,Yes
Love how they lost my reservation after full payment.,hotels,Yes
The conference facilities were set up exactly to my brief.,hotels,No
Such a pleasure dealing with a 20-step account deletion.,apps,Yes
The stand holds steady even on uneven surfaces.,ecommerce,No
Wonderful — the valet parked my car 2 km away.,hotels,Yes
Brilliant — the health insurance pre-authorisation took six weeks.,healthcare,Yes
Every supporting character felt three-dimensional.,movies,No
Permissions are minimal and each one is explained.,apps,No
Wonderful — the blood test results were labelled with someone else's name.,healthcare,Yes
Loved the restaurant that runs out of ice in August.,restaurants,Yes
Fantastic — the beef wellington was raw in the centre.,restaurants,Yes
Super — the shoe stretcher shrank my shoes.,ecommerce,Yes
Great — the 'high-absorbency' towel left me wetter.,ecommerce,Yes
"The pacing was perfect — never dragged, never rushed.",movies,No
The hospital discharge was smooth and well-coordinated.,healthcare,No
Super — the reservation was lost despite my confirmation email.,restaurants,Yes
Fantastic — the shakshuka eggs were hard-boiled under the sauce.,restaurants,Yes
The dessert was the highlight of the meal — beautifully presented.,restaurants,No
Super — the sequel's villain was less threatening than a mild inconvenience.,movies,Yes
Loved the hotel whose 'award-winning' restaurant was closed for renovation.,hotels,Yes
"Brilliant — the 'kitchen robot' has 12 attachments, none of which work.",ecommerce,Yes
Wonderful — the table had a candle; the food was served cold.,restaurants,Yes
The stunt work was genuinely impressive and clearly real.,movies,No
The dietitian followed up to adjust the plan after two weeks.,healthcare,No
Loved the director's cut that only added scenes that should be cut.,movies,Yes
Seller matched a competitor's price without being asked.,ecommerce,No
The non-slip base stays in place on every surface.,ecommerce,No
The clinic's reminder app syncs with my calendar.,healthcare,No
The cinematographer and director clearly shared a singular vision.,movies,No
Loved the travel pillow that hurt my neck worse than nothing.,ecommerce,Yes
The learning curve was short even for a non-technical user.,apps,No
Love how the specialist was three hours late and said nothing.,healthcare,Yes
Love the 'dietary requirement noted' that was completely ignored.,restaurants,Yes
The restaurant's sourcing story added genuine meaning to the meal.,restaurants,No
Fantastic — they billed my insurance wrong and I paid double.,healthcare,Yes
The physiotherapy plan reduced my pain within two weeks.,healthcare,No
Brilliant that the logout button takes me back to home.,apps,Yes
Wonderful — the 'complimentary amuse-bouche' was a single cracker.,restaurants,Yes
Super — the doctor's handwriting made the pharmacist guess.,healthcare,Yes
Great — the minibar fridge kept items at room temperature.,hotels,Yes
"The film's themes were woven into the story, not stated aloud.",movies,No
The risotto was stirred to order and timed perfectly.,restaurants,No
Wonderful dessert — served before the main course.,restaurants,Yes
Great — the anti-slip mat slips constantly.,ecommerce,Yes
Clipboard access is requested and explained before use.,apps,No
The script's callbacks were subtle and rewarding on re-watch.,movies,No
Super — the posture corrector gave me worse posture.,ecommerce,Yes
Loved the 'experienced' surgeon who mixed up my file with another patient's.,healthcare,Yes
The reservation was honoured to the minute.,restaurants,No
Fantastic — the 'state-of-the-art' equipment was from 1990.,healthcare,Yes
Super — the VIP upgrade came with a complimentary broken hairdryer.,hotels,Yes
Super — the brunch queue was longer than the experience.,restaurants,Yes
Loved the bloated franchise entry that forgot to have a story.,movies,Yes
The seasonal menu showed real creativity.,restaurants,No
Loved the blood pressure machine that gave three different readings.,healthcare,Yes
Wonderful — the steak sauce was the only thing that had flavour.,restaurants,Yes
Fantastic — my patient records were lost three times.,healthcare,Yes
Fantastic — the 'farm-fresh eggs' were scrambled into foam.,restaurants,Yes
Fantastic — the cardiologist's office lost my ECG three times.,healthcare,Yes
Super — the rooftop bar had no roof.,hotels,Yes
Billing matched exactly what was quoted beforehand.,healthcare,No
Super — the service charge was added twice to the bill.,restaurants,Yes
Brilliant — the feel-good movie made me feel nothing.,movies,Yes
Wonderful — the 'lively atmosphere' meant a screaming baby beside me.,restaurants,Yes
Loved the front desk that transferred me to the wrong department four times.,healthcare,Yes
Streaming quality adapts well to my connection speed.,apps,No
Super — the film's climax involved running through corridors again.,movies,Yes
Loved the new update that somehow doubled the load time.,apps,Yes
The documentary presented all sides fairly.,movies,No
Fantastic — the shakshuka eggs were hard-boiled under the sauce.,restaurants,Yes
The room key worked consistently for the entire stay.,hotels,No
Super — the doctor's handwriting made the pharmacist guess.,healthcare,Yes
Wonderful — the download folder is impossible to find.,apps,Yes
The texture of the fabric matches the description perfectly.,ecommerce,No
Great — the film's emotional payoff required remembering a detail from a sequel.,movies,Yes
Super — the blackout curtains let in full sunlight.,ecommerce,Yes
Brilliant — the kitchen scale measured everything as zero.,ecommerce,Yes
Super — the birthday cake arrived three hours after we'd left.,restaurants,Yes
Fantastic — the share sheet lists the same app 4 times.,apps,Yes
Super — the 'independent' spirit was crushed by a studio ending.,movies,Yes
Support chat connects to a real agent quickly.,apps,No
Brilliant — the room wasn't ready six hours after check-in time.,hotels,Yes
Love how the check-in took 90 minutes.,hotels,Yes
Brilliant — the 'no-reservation needed' place turned away every walk-in.,restaurants,Yes
The bike hire scheme was well-organised and the bikes were good.,hotels,No
Genius move adding more ads than content.,apps,Yes
The packaging was sturdy and the product was undamaged.,ecommerce,No
Fantastic — the room had a 'smart TV' running Windows XP.,hotels,Yes
Wonderful — the anti-aging cream aged my skin overnight.,ecommerce,Yes
Product matches the photos precisely — no surprises.,ecommerce,No
Wonderful — the 'lively atmosphere' meant a screaming baby beside me.,restaurants,Yes
Wonderful — the 'award-winning' service couldn't find a spare towel.,hotels,Yes
Super — the oysters arrived on ice but were room temperature.,restaurants,Yes
Brilliant — the 'rustic charm' was just an unclean dining room.,restaurants,Yes
Delighted by the popup ads that block my screen.,apps,Yes
The world's rules were established early and never broken.,movies,No
Super — the puzzle came with three missing pieces.,ecommerce,Yes
Great app — my subscription renewed without any warning.,apps,Yes
The restaurant adapted the vegetarian tasting menu on the spot.,restaurants,No
Fantastic — the 'genuine leather' is obviously plastic.,ecommerce,Yes
Loved the awards bait that baited no awards.,movies,Yes
Great — the sauna was the correct temperature: off.,hotels,Yes
Fantastic — the 'vintage' item arrived looking newer than my phone.,ecommerce,Yes
Everything in the kit was included with no missing parts.,ecommerce,No
Brilliant — the 'award-winning' chef seemed to have won for something else.,restaurants,Yes
Brilliant — the sequel undid everything the original achieved.,movies,Yes
Super — the soundtrack drowned out every line of dialogue.,movies,Yes
Backup and restore worked perfectly after switching phones.,apps,No
Great — the seed kit grew exactly zero plants.,ecommerce,Yes
Super — the waiting area chairs are designed for torture.,healthcare,Yes
Brilliant — the 'easy-assemble' furniture had no instructions.,ecommerce,Yes
The sequel improved on the original in every measurable way.,movies,No
Wonderful — the refillable markers ran out of ink immediately.,ecommerce,Yes
Brilliant that the offline mode requires internet.,apps,Yes
The lunch service was as polished as the dinner service.,restaurants,No
The item was packaged in recycled materials — appreciated.,ecommerce,No
Super — the screen protector scratched my screen.,ecommerce,Yes
The urgent care centre triaged me promptly.,healthcare,No
The cancer screening was well-organised and clearly explained.,healthcare,No
The map loads quickly even in low-signal areas.,apps,No
Fantastic — the self-cleaning filter cleaned itself into the bin.,ecommerce,Yes
The tasting menu was an education in the local produce.,restaurants,No
Fantastic — the 'remember me' checkbox never remembers.,apps,Yes
Brilliant — the nurse labelled my sample incorrectly and it had to be redone.,healthcare,Yes
Super — the sequel retconned everything that was good.,movies,Yes
Service was warm and attentive without being intrusive.,restaurants,No
The clinic's online check-in saved me time at reception.,healthcare,No
Brilliant — the product photo was from a different brand entirely.,ecommerce,Yes
The counsellor's advice was practical and immediately useful.,healthcare,No
The focus mode works without side effects.,apps,No
The seasonal menu showed real creativity.,restaurants,No
The in-room tablet's restaurant guide was current and helpful.,hotels,No
The film's message emerged organically from the story.,movies,No
Stellar app that asked for a review before I even used it.,apps,Yes
The ice machine on every floor was a useful convenience.,hotels,No
Great — the 'unlimited' brunch had a 40-minute wait per refill.,restaurants,Yes
Great — the 'high-absorbency' towel left me wetter.,ecommerce,Yes
The fish of the day was sustainably sourced and excellent.,restaurants,No
Brilliant — the in-room dining took three hours and arrived cold.,hotels,Yes
The pasta was rolled by hand and it showed in every bite.,restaurants,No
Wonderful — the coffee maker made lukewarm brown water.,ecommerce,Yes
A horror film that used atmosphere rather than jump scares.,movies,No
Super — the patient questionnaire asked for information already on file.,healthcare,Yes
Wonderful — the balcony door couldn't open or close properly.,hotels,Yes
Battery usage is minimal compared to similar apps.,apps,No
Wonderful — the time-travel rules changed to suit the plot.,movies,Yes
Great — the wheelchair had one working wheel.,healthcare,Yes
The water in the room was refreshed twice daily.,hotels,No
Wonderful comedy — I laughed zero times.,movies,Yes
The pillow turndown chocolates were from a local chocolatier.,hotels,No
Loved the restaurant's response to my complaint: a loyalty card.,restaurants,Yes
Wonderful — the 'award-winning' service couldn't find a spare towel.,hotels,Yes
Super — the child actor delivered lines written by someone who'd never met a child.,movies,Yes
Wonderful — the kids' menu charged adult prices.,restaurants,Yes
Love the 'dietary requirement noted' that was completely ignored.,restaurants,Yes
Love the notifications I never asked for at 3am.,apps,Yes
The waiter noted our dietary preferences without prompting.,restaurants,No
Loved the new update that somehow doubled the load time.,apps,Yes
Thrilling experience trying to cancel a subscription.,apps,Yes
The interactive chart zooms and scrolls without lag.,apps,No
The icon badges update correctly and clear when viewed.,apps,No
Wonderful — the reception insisted my booking didn't exist despite my email.,hotels,Yes
Superb — my saved drafts vanished after the update.,apps,Yes
The product's carbon offset label was a welcome feature.,ecommerce,No
Loved the awards bait that baited no awards.,movies,Yes
The midwife was calming and communicative throughout.,healthcare,No
Loved the 'dark and gritty' reboot that was just ugly.,movies,Yes
The clinic's reminder app syncs with my calendar.,healthcare,No
Loved that switching languages reset every preference.,apps,Yes
Wonderful — the tablecloth hid the table but not the wobble.,restaurants,Yes
Fantastic — the patient liaison 'resolved' my complaint by losing my file.,healthcare,Yes
The script took real risks and every one of them paid off.,movies,No
Great — the vegan cheese contained dairy.,restaurants,Yes
Wonderful — the dentist used equipment that should have been sterile.,healthcare,Yes
Fantastic — the film was 40% montage.,movies,Yes
Feedback submitted through the app received a response.,apps,No
Wonderful — the wine was corked; the waiter disagreed.,restaurants,Yes
The action sequences were choreographed with real clarity.,movies,No
Loved the turndown service that just moved the pillows.,hotels,Yes
Loved the franchise that explained its mythology by abandoning it.,movies,Yes
Brilliant that the voice command never understands me.,apps,Yes
Super — the standing desk collapsed when I stood at it.,ecommerce,Yes
"Super — the steak was ordered medium-rare, arrived cremated.",restaurants,Yes
Loved the 'house-crafted' cocktail made with rail spirits.,restaurants,Yes
Fantastic — the bath bomb turned my water grey.,ecommerce,Yes
The anaesthetist answered every question before surgery.,healthcare,No
The water was refilled before I noticed it was low.,restaurants,No
Brilliant — the anti-snore device made me snore louder.,ecommerce,Yes
Loved the experimental film that experimented with my patience.,movies,Yes
Loved the ambulance that took 90 minutes in a non-life-threatening wait.,healthcare,Yes
Super — the room card stopped working four times a day.,hotels,Yes
The open-fire cooking gave the food a distinctive and excellent flavour.,restaurants,No
Fantastic — the hotel's 'artisanal coffee' was instant from a tin.,hotels,Yes
Wonderful — the smell-proof bag made everything smell.,ecommerce,Yes
Wonderful — the love interest had no personality beyond 'love interest.',movies,Yes
Loved the film that treated the audience's intelligence as optional.,movies,Yes
Wonderful — the minibar was locked but I was billed for it.,hotels,Yes
The tasting menu was paced perfectly over three hours.,restaurants,No
Loved the 'unexpected' twist that was on every fan forum for a year.,movies,Yes
Super — the posture corrector gave me worse posture.,ecommerce,Yes
Fantastic — the wake-up call came an hour late.,hotels,Yes
Super — the hotel hosted a conference that blocked every entrance.,hotels,Yes
The kitchen sent out an extra course as thanks for waiting — appreciated.,restaurants,No
The specialist's letter arrived before my follow-up.,healthcare,No
Loved the 'genuine mahogany' shelves that were chipboard.,ecommerce,Yes
Wonderful dessert — served before the main course.,restaurants,Yes
Brilliant — the auteur film was auteur for 'slow and self-indulgent.',movies,Yes
The animation's detail rewarded close attention.,movies,No
Super — the soundtrack drowned out every line of dialogue.,movies,Yes
Character arcs were earned and felt true to each person.,movies,No
Wonderful — the 'natural wine' tasted naturally of vinegar.,restaurants,Yes
Loved the 'generous portion' that fit on a dessert spoon.,restaurants,Yes
Great — the extra bed request was forgotten every day.,hotels,Yes
Fantastic dialogue — every line was a cliché.,movies,Yes
So impressed by the app that charges twice for one purchase.,apps,Yes
Impressive — the help page returns a 404 error.,apps,Yes
The practice nurse was thorough during my annual check.,healthcare,No
The pharmacy called to confirm before dispensing.,healthcare,No
Love how the app drains my battery in 10 minutes.,apps,Yes
Great — the post-credits scene made even less sense.,movies,Yes
The fish was perfectly cooked — not a degree over.,restaurants,No
Super clean — found someone else's hair in every corner.,hotels,Yes
Wonderful — the gluten-free bread was regular bread.,restaurants,Yes
Loved the dental chair that broke mid-cleaning.,healthcare,Yes
Sharing content from this app to others is always smooth.,apps,No
The carrying case was a thoughtful inclusion.,ecommerce,No
Loved the pristine bathroom with a broken toilet handle.,hotels,Yes
Super film — the CGI looked like a school project.,movies,Yes
